,right,strike,expiry,bid_price,ask_price,delta,gamma,theta,vega,rho,ImV,t,k
10001211,0,2.9,2018-09-26,0.0131,0.0131,0.0935201087253237,0.528369010928992,-0.118445668677175,0.194552968419648,0.049775064536726,0.271540392016561,0.2328767123287671,0.18267245176500785
10001212,0,2.95,2018-09-26,0.0102,0.0102,0.0752484134088412,0.445594233128173,-0.101020538486775,0.165255004765676,0.0401304091046196,0.273494739091023,0.2328767123287671,0.19976688512430796
10001213,0,3.0,2018-09-26,0.009,0.009,0.0657941204597909,0.388525825354541,-0.0939447404806806,0.149046795037772,0.0350691804270384,0.282902423177875,0.2328767123287671,0.21657400344068922
10001214,0,3.1,2018-09-26,0.0066,0.0066,0.0484586121256354,0.291315986592734,-0.076994740307313,0.117133764932738,0.0258355350019864,0.296518436733925,0.2328767123287671,0.24936382626368014
10001215,0,3.2,2018-09-26,0.0053,0.0053,0.0382211499104415,0.227590580913281,-0.0668894530326898,0.0966997846768233,0.0203557548662245,0.313332280765638,0.2328767123287671,0.28111252457826047
10001216,0,3.3,2018-09-26,0.0043,0.0043,0.0305411504135629,0.180279353227715,-0.0582050503053107,0.0804163833408405,0.0162501218120636,0.328951948432117,0.2328767123287671,0.31188418324501405
10001217,0,3.4,2018-09-26,0.0035,0.0035,0.0245624669436234,0.144086092644353,-0.050502610496041,0.0670577552299762,0.0130591485648337,0.343210735771148,0.2328767123287671,0.3417371463946952
10001218,0,3.5,2018-09-26,0.0037,0.0037,0.0242242645514527,0.132075959152054,-0.0536873994989588,0.06628172982798,0.0128208798474934,0.370087126300282,0.2328767123287671,0.37072468326794755
10001219,0,3.6,2018-09-26,0.0037,0.0037,0.0230330853851837,0.119187016475114,-0.0545402009519675,0.0635296748960256,0.0121475593590952,0.393080592186073,0.2328767123287671,0.3988955602346438
10001220,1,2.9,2018-09-26,0.5081,0.5081,-0.852570555938286,0.593744257027616,-0.113257365916262,0.268390369782702,-0.601625568712536,0.333350740359162,0.2328767123287671,0.18267245176500785
10001221,1,2.95,2018-09-26,0.5573,0.5573,-0.860475375180688,0.541404935827643,-0.114635393563975,0.258588108783467,-0.617687446940992,0.352225063739995,0.2328767123287671,0.19976688512430796
10001222,1,3.0,2018-09-26,0.6061,0.6061,-0.868715943078049,0.496136855051727,-0.113326655898732,0.248020342388262,-0.633843491252665,0.368654662202558,0.2328767123287671,0.21657400344068922
10001223,1,3.1,2018-09-26,0.7032,0.7032,-0.884561190449836,0.421262478780092,-0.106062740564971,0.226641721238856,-0.665678229075571,0.396753711547187,0.2328767123287671,0.24936382626368014
10001224,1,3.2,2018-09-26,0.8018,0.8018,-0.893819817714694,0.36736172029471,-0.105728250928312,0.213462869180776,-0.694144012563783,0.428511379705452,0.2328767123287671,0.28111252457826047
10001225,1,3.3,2018-09-26,0.9051,0.9051,-0.888928557133139,0.338544572233614,-0.1336024389429,0.220490929108658,-0.715716761461236,0.480295800623766,0.2328767123287671,0.31188418324501405
10001226,1,3.4,2018-09-26,0.996,0.996,-0.917025844703249,0.279532763368428,-0.0814047637636418,0.177951182502238,-0.753017186356315,0.46946376536024,0.2328767123287671,0.3417371463946952
10001227,1,3.5,2018-09-26,1.0956,1.0956,-0.919954924628781,0.255283033928797,-0.0848039584789323,0.173192992283757,-0.778139842349229,0.50031356759289,0.2328767123287671,0.37072468326794755
10001228,1,3.6,2018-09-26,1.1919,1.1919,-0.931719826273598,0.22198251366542,-0.0630467606867514,0.153384177410661,-0.80748007207252,0.5095604517336,0.2328767123287671,0.3988955602346438
10001229,0,2.85,2018-09-26,0.0151,0.0151,0.108369769769482,0.609676577835691,-0.127801567246936,0.216627496172245,0.0576965572570494,0.262028171629523,0.2328767123287671,0.16528070905313863
10001230,1,2.85,2018-09-26,0.4616,0.4616,-0.835158274332802,0.659258683111372,-0.124147010211097,0.288883439437521,-0.580829799076202,0.323147428884625,0.2328767123287671,0.16528070905313863
10001231,0,2.8,2018-09-26,0.0188,0.0188,0.131718984138044,0.712342392542334,-0.144674345649028,0.248587239854979,0.0700235564029703,0.25734987338774,0.2328767123287671,0.14758113195373768
10001232,1,2.8,2018-09-26,0.4215,0.4215,-0.798934086473349,0.728747526827103,-0.159554063046705,0.327053105083333,-0.550904565130344,0.330959689255603,0.2328767123287671,0.14758113195373768
10001233,0,2.75,2018-09-26,0.0231,0.0231,0.158619761733374,0.826501956456211,-0.161008949651276,0.281729389843337,0.0842161408011468,0.251375059279096,0.2328767123287671,0.12956262645105934
10001234,1,2.75,2018-09-26,0.3715,0.3715,-0.788106437884794,0.815139512337876,-0.150657232486754,0.337376351596496,-0.533003794089644,0.305222545149782,0.2328767123287671,0.12956262645105934
10001241,0,2.6,2018-09-26,0.0465,0.0465,0.283706202598475,1.21237034882041,-0.219896241258223,0.394483786570401,0.149407079733521,0.23995387588746,0.2328767123287671,0.07347315980001591
10001242,0,2.65,2018-09-26,0.0372,0.0372,0.23602389346432,1.08140796041579,-0.202073889699193,0.358706499532898,0.124646094658097,0.244615290735393,0.2328767123287671,0.0925213547707102
