Date,SHIBORON.IR,SHIBOR1M.IR,SHIBOR1W.IR,SHIBOR1Y.IR,SHIBOR2W.IR,SHIBOR3M.IR,SHIBOR6M.IR,SHIBOR9M.IR
2017/1/3,2.209,3.3126,2.589,3.3833,2.817,3.2813,3.3037,3.331
2017/1/4,2.172,3.3223,2.545,3.3904,2.805,3.2912,3.3094,3.3391
2017/1/5,2.13,3.3578,2.474,3.4311,2.792,3.3384,3.345,3.367
2017/1/6,2.112,3.4101,2.441,3.4882,2.782,3.4388,3.438,3.4413
2017/1/9,2.094,3.4738,2.41,3.5329,2.765,3.5152,3.5093,3.4962
2017/1/10,2.096,3.5314,2.399,3.5533,2.762,3.5526,3.5481,3.5247
2017/1/11,2.104,3.5662,2.39,3.5674,2.753,3.5853,3.5809,3.5495
2017/1/12,2.103,3.6387,2.394,3.5838,2.743,3.6536,3.6201,3.572
2017/1/13,2.104,3.6718,2.398,3.6014,2.7626,3.6874,3.6461,3.5872
2017/1/16,2.142,3.6852,2.4239,3.6102,2.7815,3.7018,3.6617,3.5968
2017/1/17,2.2563,3.7116,2.4666,3.6321,2.8076,3.7222,3.6812,3.6117
2017/1/18,2.328,3.7502,2.5042,3.6513,2.855,3.7491,3.6982,3.6272
2017/1/19,2.364,3.7951,2.538,3.6602,2.9544,3.803,3.7369,3.6398
2017/1/20,2.376,3.8196,2.593,3.6691,3.0077,3.8213,3.7427,3.647
2017/1/23,2.175,3.8118,2.637,3.6847,3.0215,3.8401,3.774,3.6666
2017/1/24,2.164,3.8142,2.662,3.6905,3.0385,3.8401,3.7802,3.6787
2017/1/25,2.165,3.8295,2.684,3.7136,3.0672,3.8551,3.8146,3.7005
2017/1/26,2.5293,3.851,2.691,3.7396,3.1763,3.8706,3.8377,3.7233
2017/2/3,2.218,3.8761,2.652,3.786,3.0675,3.9175,3.878,3.7705
2017/2/6,2.278,3.9031,2.628,3.8542,3.0562,3.9497,3.9195,3.847
2017/2/7,2.281,3.9304,2.6283,3.882,3.067,4.016,3.9429,3.8751
2017/2/8,2.2765,3.9601,2.633,3.9019,3.0856,4.1094,3.9722,3.8882
2017/2/9,2.272,3.9839,2.634,3.9168,3.0919,4.144,4.0045,3.9084
2017/2/10,2.2678,3.9938,2.6233,3.9352,3.0911,4.1727,4.0217,3.9288
2017/2/13,2.264,4.0052,2.623,3.953,3.097,4.2029,4.07,3.9503
2017/2/14,2.261,4.016,2.6208,3.968,3.0988,4.2148,4.1012,3.9668
2017/2/15,2.2658,4.0312,2.627,3.9846,3.1033,4.2394,4.1381,3.9835
2017/2/16,2.333,4.0516,2.6435,3.9906,3.1098,4.2518,4.1463,3.9924
2017/2/17,2.36,4.0652,2.664,4.0005,3.1132,4.2567,4.1567,4.0007
2017/2/20,2.4086,4.075,2.675,4.0064,3.1295,4.2622,4.1665,4.0057
2017/2/21,2.483,4.082,2.691,4.0102,3.1388,4.2704,4.1755,4.0091
2017/2/22,2.4845,4.085,2.706,4.0225,3.142,4.2778,4.1824,4.0155
2017/2/23,2.5271,4.093,2.716,4.0305,3.146,4.284,4.1881,4.0245
2017/2/24,2.4756,4.091,2.725,4.0362,3.15,4.2829,4.19,4.0334
2017/2/27,2.4338,4.082,2.711,4.0407,3.15,4.2804,4.1922,4.0353
2017/2/28,2.493,4.08,2.728,4.0467,3.158,4.2841,4.196,4.0437
2017/3/1,2.4943,4.0763,2.729,4.0497,3.163,4.2881,4.1998,4.0454
2017/3/2,2.4611,4.083,2.732,4.0492,3.167,4.2904,4.2,4.0487
2017/3/3,2.369,4.0851,2.659,4.051,3.138,4.2905,4.2002,4.0499
2017/3/6,2.4033,4.0951,2.646,4.0511,3.137,4.2925,4.201,4.051
2017/3/7,2.4041,4.1016,2.644,4.0527,3.14,4.2918,4.201,4.0516
2017/3/8,2.4061,4.1052,2.655,4.0536,3.156,4.2932,4.201,4.0527
2017/3/9,2.4076,4.1126,2.659,4.0539,3.159,4.2943,4.201,4.0567
2017/3/10,2.4019,4.1153,2.655,4.0551,3.161,4.2942,4.2031,4.0604
2017/3/13,2.379,4.1226,2.649,4.0614,3.163,4.2925,4.2054,4.0648
2017/3/14,2.3761,4.1343,2.652,4.0678,3.168,4.2925,4.2146,4.0764
2017/3/15,2.3869,4.1537,2.656,4.0818,3.1825,4.2933,4.2205,4.0837
2017/3/16,2.441,4.2218,2.6938,4.1052,3.2137,4.3267,4.2581,4.1094
2017/3/17,2.633,4.2775,2.725,4.1246,3.236,4.3507,4.2909,4.134
2017/3/20,2.6325,4.3172,2.7471,4.1435,3.269,4.3711,4.3091,4.1504
2017/3/21,2.6477,4.3558,2.768,4.1559,3.307,4.3846,4.3218,4.1621
2017/3/22,2.6507,4.3959,2.791,4.1649,3.3372,4.4077,4.346,4.1713
2017/3/23,2.657,4.4475,2.807,4.1717,3.365,4.4396,4.3592,4.1772
2017/3/24,2.604,4.4581,2.784,4.1835,3.362,4.4516,4.3663,4.1788
2017/3/27,2.482,4.4296,2.7993,4.1874,3.3378,4.4364,4.3597,4.1829
2017/3/28,2.448,4.4105,2.791,4.1918,3.3341,4.423,4.356,4.1883
2017/3/29,2.521,4.3955,2.81,4.1952,3.3544,4.4135,4.353,4.1919
2017/3/30,2.507,4.3843,2.821,4.2006,3.383,4.3995,4.349,4.1942
2017/3/31,2.5384,4.3501,2.85,4.2,3.405,4.393,4.35,4.195
2017/4/5,2.4868,4.2525,2.74,4.2,3.3053,4.3355,4.347,4.197
2017/4/6,2.537,4.1783,2.7506,4.2,3.2754,4.3183,4.345,4.197
2017/4/7,2.4957,4.118,2.741,4.2,3.249,4.301,4.339,4.197
2017/4/10,2.442,4.0746,2.707,4.201,3.2203,4.2906,4.332,4.1977
2017/4/11,2.408,4.0382,2.687,4.201,3.1897,4.2774,4.322,4.1975
2017/4/12,2.3885,4.0132,2.6631,4.2011,3.1637,4.2653,4.316,4.1968
2017/4/13,2.413,4.0016,2.6566,4.2022,3.1553,4.2631,4.3166,4.1987
2017/4/14,2.429,3.9972,2.674,4.2013,3.1617,4.2634,4.3177,4.1989
2017/4/17,2.444,3.9972,2.69,4.2022,3.1735,4.2609,4.3148,4.1989
